[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/cd/account-statement.svg → 200 (42ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/da/accountant.svg → 200 (42ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/16/accountant-abacus.svg → 200 (42ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/57/accountant-arms-folded.svg → 200 (42ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/3e/accountant-badge.svg → 200 (43ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/c0/accountant-calculator.svg → 200 (43ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/9c/accountant-clipboard.svg → 200 (43ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/b0/accountant-coffee-mug.svg → 200 (44ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/31/accountant-facing-forward.svg → 200 (45ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/8f/accountant-gesturing-explain.svg → 200 (44ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/ab/accountant-headset.svg → 200 (45ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/58/accountant-holding-document.svg → 200 (45ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/da/accountant-holding-key.svg → 200 (47ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/6a/accountant-holding-phone.svg → 200 (47ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/35/accountant-laptop.svg → 200 (47ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/34/accountant-ledger.svg → 200 (48ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/df/accountant-pointing-side.svg → 200 (48ms, ?B)
[2026-08-14T10:37:23.581Z] GET http://127.0.0.1:4173/icons/sets/drawn/b3/accreditation-desk.svg → 200 (47ms, ?B)
[2026-08-14T10:37:24.347Z] GET http://127.0.0.1:4173/icons/sets/drawn/b1/admin-coffee-mug.svg → 304 (12ms, ?B)
[2026-08-14T10:37:24.347Z] GET http://127.0.0.1:4173/icons/sets/drawn/cc/anonymous-user-coffee-mug.svg → 304 (12ms, ?B)
[2026-08-14T10:37:24.347Z] GET http://127.0.0.1:4173/icons/sets/drawn/70/approver-coffee-mug.svg → 304 (13ms, ?B)
[2026-08-14T10:37:24.347Z] GET http://127.0.0.1:4173/icons/sets/drawn/3d/arabic-coffee-tray.svg → 304 (13ms, ?B)
[2026-08-14T10:37:24.347Z] GET http://127.0.0.1:4173/icons/sets/drawn/88/arriving-desk-coffee.svg → 304 (15ms, ?B)
[2026-08-14T10:37:24.347Z] GET http://127.0.0.1:4173/icons/sets/drawn/fe/auditor-coffee-mug.svg → 304 (14ms, ?B)
[2026-08-14T10:37:24.347Z] GET http://127.0.0.1:4173/icons/sets/drawn/8f/axolotl-holding-coffee-mug.svg → 304 (14ms, ?B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/cd/person-drinking-coffee-while.svg → 304 (13ms, ?B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/03/person-exchanging-bag-coffee.svg → 304 (15ms, ?B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/f7/person-measuring-bag-coffee.svg → 304 (15ms, ?B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/c5/person-paying-for-bag.svg → 304 (16ms, ?B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/f4/person-queueing-for-bag.svg → 304 (16ms, ?B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/9f/person-reserving-bag-coffee.svg → 304 (16ms, ?B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/03/person-returning-bag-coffee.svg → 304 (17ms, ?B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/ef/person-reviewing-bag-coffee.svg → 304 (17ms, ?B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/a6/person-scanning-bag-coffee.svg → 304 (17ms, ?B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/f0/person-trying-bag-coffee.svg → 304 (18ms, ?B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/72/cartoon-break-room-coffee.svg → 304 (18ms, ?B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/06/person-unpacking-bag-coffee.svg → 200 (18ms, 5396B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/a2/person-weighing-bag-coffee.svg → 200 (18ms, 5249B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/21/person-wrapping-bag-coffee.svg → 200 (19ms, 4874B)
[2026-08-14T10:37:24.348Z] GET http://127.0.0.1:4173/icons/sets/drawn/ab/pigeon-holding-coffee-mug.svg → 200 (19ms, 4206B)
[2026-08-14T10:37:24.353Z] GET http://127.0.0.1:4173/icons/sets/drawn/5a/plate-sugar.svg → 200 (14ms, 4739B)
[2026-08-14T10:37:24.353Z] GET http://127.0.0.1:4173/icons/sets/drawn/83/platypus-holding-coffee-mug.svg → 200 (20ms, 3843B)
[2026-08-14T10:37:24.354Z] GET http://127.0.0.1:4173/icons/sets/drawn/54/product-manager-coffee-mug.svg → 200 (20ms, 3010B)
